SampleDate,Location,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged
2021-11-11,North Davis C,0.0,0.0,0.0,716000.0
2021-11-11,North Davis D,11.0325372,11.0325372,0.0,356000.0
2021-11-11,North Central Davis,34.9475217,93.2007218,0.00037233333333333335,1720000.0
2021-11-11,East Central Davis A,11.4830017,22.966361,0.0,245000.0
2021-11-11,North J,0.0,0.0,0.0,81200.0
2021-11-11,8th and J,0.0,0.0,0.0,623000.0
2021-11-11,Rancho Yolo: East 8th Street,0.0,0.0,0.0,434000.0
2021-11-11,South Davis/El Macero,0.0,0.0,0.0,179000.0
2021-11-11,Peregrine School (upstream),0.0,0.0,0.0,604000.0
2021-11-11,Arroyo A,11.9638252,11.9638252,0.0,120000.0
2021-11-11,Arroyo B,11.2297082,22.4597502,0.0,189000.0
2021-11-11,East Central Davis B,0.0,0.0,0.0,200000.0
2021-11-11,Rancho Yolo/Research Park,10.9875441,10.9875441,0.0,219000.0
2021-11-11,Rancho Yolo: Pole Line north of 5th,11.4323366,0.0,0.0,536000.0
2021-11-04,COD WWTP,11.1061536,11.1061536,0.0,216000.0
2021-11-05,COD WWTP,24.0516688,48.1048822,0.0008806666666666668,363000.0
